Date,AAPL,MSFT,AMZN,GOOG,FB,TSLA,BABA,NVDA,DIS,NFLX
2018-11-02,50.41315841674805,102.83445739746094,1665.530029296875,1057.7900390625,150.35000610351562,69.28199768066406,147.58999633789062,213.51759338378906,112.91352081298828,309.1000061035156
2018-11-05,48.98200225830078,104.14216613769531,1627.800048828125,1040.0899658203125,148.67999267578125,68.27999877929688,144.63999938964844,210.38816833496094,113.1781997680664,315.44000244140625
2018-11-06,49.51169967651367,104.34559631347656,1642.81005859375,1055.81005859375,149.94000244140625,68.21199798583984,147.44000244140625,209.6827850341797,114.41341400146484,310.8399963378906
2018-11-07,51.013309478759766,108.45275115966797,1755.489990234375,1093.3900146484375,151.52999877929688,69.63200378417969,152.5,212.3949737548828,114.74671936035156,327.5
2018-11-08,50.83531951904297,108.24933624267578,1754.9100341796875,1082.4000244140625,147.8699951171875,70.27999877929688,148.99000549316406,204.6458740234375,113.7173843383789,317.9200134277344
2018-11-09,49.85513687133789,106.13763427734375,1712.4300537109375,1066.1500244140625,144.9600067138672,70.10199737548828,144.85000610351562,204.3279571533203,115.67802429199219,303.4700012207031
2018-11-12,47.34372329711914,103.52220916748047,1636.8499755859375,1038.6300048828125,141.5500030517578,66.25599670410156,142.82000732421875,188.30320739746094,114.40360260009766,294.07000732421875
2018-11-13,46.870704650878906,103.59000396728516,1631.1700439453125,1036.050048828125,142.16000366210938,67.74600219726562,146.97999572753906,198.00946044921875,114.55065155029297,294.3999938964844
2018-11-14,45.54672622680664,102.1209945678711,1599.010009765625,1043.6600341796875,144.22000122070312,68.80000305175781,150.44000244140625,195.90328979492188,114.81534576416016,286.7300109863281
2018-11-15,46.67076873779297,104.36830139160156,1619.43994140625,1064.7099609375,143.85000610351562,69.68800354003906,156.22000122070312,201.06935119628906,114.8055419921875,290.05999755859375
2018-11-16,47.18767547607422,105.35089874267578,1593.4100341796875,1061.489990234375,139.52999877929688,70.86199951171875,154.10000610351562,163.35704040527344,113.90364074707031,286.2099914550781
2018-11-19,45.31753158569336,101.78050231933594,1512.2900390625,1020.0,131.5500030517578,70.69400024414062,149.52999877929688,143.75579833984375,113.14878845214844,270.6000061035156
2018-11-20,43.152347564697266,98.9494857788086,1495.4599609375,1025.760009765625,132.42999267578125,69.49800109863281,145.97999572753906,148.10720825195312,109.66865539550781,266.9800109863281
2018-11-21,43.10358810424805,100.31147766113281,1516.72998046875,1037.6099853515625,134.82000732421875,67.63800048828125,149.41000366210938,143.76576232910156,110.80582427978516,262.1300048828125
2018-11-23,42.008811950683594,100.27257537841797,1502.06005859375,1023.8800048828125,131.72999572753906,65.16600036621094,150.3300018310547,144.0538330078125,109.87451934814453,258.82000732421875
2018-11-26,42.57692337036133,103.5802993774414,1581.3299560546875,1048.6199951171875,136.3800048828125,69.19999694824219,156.00999450683594,152.05130004882812,110.33527374267578,261.42999267578125
2018-11-27,42.48426818847656,104.23210906982422,1581.4200439453125,1044.4100341796875,135.0,68.78399658203125,156.4600067138672,152.72686767578125,111.65870666503906,266.6300048828125
2018-11-28,44.11790466308594,108.10408020019531,1677.75,1086.22998046875,136.75999450683594,69.5739974975586,159.33999633789062,159.0255126953125,113.8154067993164,282.6499938964844
2018-11-29,43.77899169921875,107.19932556152344,1673.5699462890625,1088.300048828125,138.67999267578125,68.23400115966797,156.27999877929688,156.48959350585938,114.31537628173828,288.75
2018-11-30,43.54248046875,107.88032531738281,1690.1700439453125,1094.4300537109375,140.61000061035156,70.09600067138672,160.86000061035156,162.5260467529297,113.21741485595703,286.1300048828125
2018-12-03,45.06394958496094,109.0477523803711,1772.3599853515625,1106.4300537109375,141.08999633789062,71.697998046875,163.74000549316406,169.09947204589844,113.46248626708984,290.29998779296875
2018-12-04,43.08164596557617,105.57463836669922,1668.4000244140625,1050.8199462890625,137.92999267578125,71.94000244140625,158.33999633789062,156.24099731445312,110.64897918701172,275.3299865722656
2018-12-06,42.60131072998047,106.2264633178711,1699.18994140625,1068.72998046875,139.6300048828125,72.61199951171875,155.8300018310547,157.41445922851562,112.08024597167969,282.8800048828125
2018-12-07,41.082271575927734,101.97506713867188,1629.1300048828125,1036.5799560546875,137.4199981689453,71.59400177001953,153.05999755859375,146.79354858398438,110.62799835205078,265.1400146484375
2018-12-10,41.3529167175293,104.66988372802734,1641.030029296875,1039.550048828125,141.85000610351562,73.02999877929688,151.42999267578125,151.02003479003906,110.50943756103516,269.70001220703125
2018-12-11,41.11640548706055,105.64273834228516,1643.239990234375,1051.75,142.0800018310547,73.35199737548828,151.8300018310547,147.37033081054688,110.61811828613281,265.32000732421875
2018-12-12,41.23100662231445,106.11944580078125,1663.5400390625,1063.6800537109375,144.5,73.31999969482422,151.5,148.07640075683594,110.85521697998047,274.8800048828125
2018-12-13,41.68208312988281,106.47940063476562,1658.3800048828125,1061.9000244140625,145.00999450683594,75.35800170898438,151.47999572753906,148.06643676757812,112.02096557617188,276.0199890136719
2018-12-14,40.348350524902344,103.15223693847656,1591.9100341796875,1042.0999755859375,144.05999755859375,73.14199829101562,149.0,145.63995361328125,110.8453369140625,266.8399963378906
2018-12-17,39.972862243652344,100.09745788574219,1520.9100341796875,1016.530029296875,140.19000244140625,69.68399810791016,143.97999572753906,142.7858123779297,109.28441619873047,262.79998779296875
2018-12-18,40.492210388183594,101.14813995361328,1551.47998046875,1028.7099609375,143.66000366210938,67.40599822998047,140.82000732421875,146.1272430419922,108.12853240966797,270.94000244140625
2018-12-19,39.229183197021484,100.875732421875,1495.0799560546875,1023.010009765625,133.24000549316406,66.59400177001953,137.13999938964844,137.74386596679688,107.90132141113281,266.7699890136719
2018-12-20,38.239253997802734,98.7549057006836,1460.8299560546875,1009.4099731445312,133.39999389648438,63.07600021362305,135.11000061035156,134.35275268554688,105.70812225341797,260.5799865722656
2018-12-21,36.75191116333008,95.56391906738281,1377.449951171875,979.5399780273438,124.94999694824219,63.95399856567383,132.0,128.8533477783203,102.9616928100586,246.38999938964844
2018-12-24,35.800994873046875,91.57521057128906,1343.9599609375,976.219970703125,124.05999755859375,59.077999114990234,131.88999938964844,126.3770980834961,99.13841247558594,233.8800048828125
2018-12-26,38.3221549987793,97.83069610595703,1470.9000244140625,1039.4599609375,134.17999267578125,65.21800231933594,138.0,132.3638153076172,104.55225372314453,253.6699981689453
2018-12-27,38.073455810546875,98.43387603759766,1461.6400146484375,1043.8800048828125,134.52000427246094,63.22600173950195,138.4499969482422,130.4444580078125,105.2339096069336,255.57000732421875
2018-12-28,38.092960357666016,97.6653060913086,1478.02001953125,1037.0799560546875,133.1999969482422,66.77400207519531,139.08999633789062,132.9107666015625,106.00450134277344,256.0799865722656
2018-12-31,38.46113967895508,98.81327819824219,1501.969970703125,1035.6099853515625,131.08999633789062,66.55999755859375,137.07000732421875,132.7615966796875,108.32612609863281,267.6600036621094
2019-01-02,38.50502395629883,98.37548065185547,1539.1300048828125,1045.8499755859375,135.67999267578125,62.02399826049805,136.6999969482422,135.46653747558594,107.65434265136719,267.6600036621094
2019-01-03,34.669639587402344,94.75645446777344,1500.280029296875,1016.0599975585938,131.74000549316406,60.071998596191406,130.60000610351562,127.28205108642578,105.04621124267578,271.20001220703125
